,Life expectancy,1806,1816,1826,1836,1846,1856,1866,1876,1886,1896,1906,1916,1926,1936,1946,1956,1966,1976,1986,1996,2006
152,Mozambique,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,31.22,35.58,41.66,47.61,50.21,52.6,53.0
153,Myanmar,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,28.79,39.6,47.39,52.54,56.23,59.4,64.0
154,Namibia,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,20.0,32.4,32.4,32.4,37.16,44.39,50.61,56.04,60.65,59.3,54.9
156,Nepal,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,33.56,37.9,42.6,47.64,54.98,62.5,67.8
157,Netherlands,39.86,39.86,39.86,39.86,39.86,38.39,33.64,40.35,41.98,48.56,52.78,56.16,63.04,66.76,67.57,72.52,73.52,74.61,76.31,77.6,79.9
158,Netherlands Antilles,34.41,34.41,34.41,34.41,34.41,34.41,34.41,34.41,34.41,34.41,34.41,34.41,38.55,46.82,55.1,63.43,67.67,71.58,74.33,74.48,75.76
159,New Caledonia,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.92,36.16,45.39,53.5,60.19,65.37,69.37,72.43,74.84
160,New Zealand,34.05,34.05,34.05,34.05,34.05,34.05,34.05,36.73,41.19,45.65,50.12,54.58,59.04,63.5,67.97,70.75,71.16,72.5,74.28,77.3,79.9
162,Nicaragua,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,27.01,32.34,39.52,47.4,55.74,63.59,69.67,74.7,76.7
163,Niger,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,32.01,36.22,37.61,39.97,45.09,50.2,56.6
164,Nigeria,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,31.95,37.93,43.81,49.62,53.67,55.0,57.4
169,Norway,43.76,46.33,47.63,46.46,48.05,50.37,49.92,46.83,51.72,53.84,56.91,57.25,63.26,65.84,69.53,73.55,74.11,75.17,76.21,78.2,80.4
170,Oman,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,33.27,40.8,49.97,59.32,69.17,74.2,76.0
171,Pakistan,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,27.1,23.2,19.9,24.3,27.4,31.0,34.72,42.67,51.7,57.17,60.77,61.9,63.7
173,Panama,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,33.1,35.1,39.8,50.63,59.31,64.7,69.88,73.76,75.4,77.2
174,Papua New Guinea,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.55,36.53,43.07,50.21,55.19,57.0,58.0
175,Paraguay,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,41.54,57.39,65.03,68.11,70.81,73.11,74.1,74.0
176,Peru,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,40.53,46.51,52.38,59.99,66.41,71.7,77.7
177,Philippines,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,31.6,38.6,41.29,57.36,60.91,63.32,66.35,68.9,69.2
179,Poland,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,36.2,39.22,42.25,45.27,48.29,52.23,47.02,64.74,69.99,70.88,71.07,72.4,75.2
180,Portugal,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,36.66,47.21,53.68,61.22,65.67,69.12,73.61,75.5,79.0
